Command: /data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/CutAware_NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Wang.h5ad --save_dir /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Wang/canm_gated_cut_warm/seed42 --dataset_name Wang --variant_name canm_gated_cut_warm --seed 42 --n_clusters 2 --epochs 80 --batch_size 256 --n_top_genes 1000 --gpu 6 --no_save_h5ad

Using device: cuda:0
/data/luolie/conda/base/lib/python3.13/functools.py:934: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
Epoch 001/80 loss=0.4210 scmae=0.3357 cut=0.0000 ot=0.0000 gate=0.000 mass=[0.000,0.000]
Epoch 010/80 loss=0.2582 scmae=0.1943 cut=0.0000 ot=0.0000 gate=0.000 mass=[0.000,0.000]
Epoch 020/80 loss=0.2502 scmae=0.1881 cut=0.0000 ot=0.0000 gate=0.800 mass=[0.000,0.000]
Epoch 030/80 loss=0.2469 scmae=0.1854 cut=0.0000 ot=0.0000 gate=0.782 mass=[0.000,0.000]
Epoch 040/80 loss=0.2441 scmae=0.1829 cut=0.0000 ot=0.0000 gate=0.789 mass=[0.000,0.000]
Epoch 050/80 loss=0.2411 scmae=0.1806 cut=0.0000 ot=0.0000 gate=0.784 mass=[0.000,0.000]
Epoch 060/80 loss=0.2386 scmae=0.1784 cut=0.0000 ot=0.0000 gate=0.786 mass=[0.000,0.000]
Epoch 070/80 loss=0.2372 scmae=0.1774 cut=0.0000 ot=0.0000 gate=0.779 mass=[0.000,0.000]
Epoch 080/80 loss=0.2338 scmae=0.1746 cut=0.0000 ot=0.0000 gate=0.779 mass=[0.000,0.000]
Results saved to: /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Wang/canm_gated_cut_warm/seed42
