dataset,seed,variant,source_variant,graph_enabled,tau,ari,nmi,acc,q_total
Limb_Muscle,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.7405171494539577,0.8191764645784329,0.9073931951905858,0.7480758399043035
Limb_Muscle,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.9178236736167543,0.9139755268194685,0.9626502941928882,0.7507644099663849
Limb_Muscle,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.8316440336294294,0.8840377522373788,0.9068815553850089,0.7508270163641906
Pollen,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.8700415764190499,0.8955787312019604,0.8571428571428571,0.7748868958396794
Pollen,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.7753551137203126,0.8652777043391131,0.7774086378737541,0.759589324492979
Pollen,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.7564323599073581,0.8711736477246441,0.7906976744186046,0.76220838923591
Wang,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.0,0.9694165426212082,0.9240608670102626,0.9930664985817838,0.6984532276258257
Wang,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.0,-0.02328777151779158,0.011539246055237384,0.7616346254858704,0.6984468781109772
Wang,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.0,0.966183945674643,0.9175930143850526,0.9923311272192458,0.6982508803328891
worm_neuron_cell,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.15526647465850382,0.4534249208286463,0.5076445293836598,0.7947103766478677
worm_neuron_cell,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.20205556350670725,0.5047139144582169,0.5597228858098423,0.792601930473031
worm_neuron_cell,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.2108724407998285,0.5162437408941999,0.5661729574773053,0.7863487796814226
