Command: /data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/CutAware_NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed_scmae/Tosches.h5ad --save_dir /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Tosches/canm_diagnostic_only/seed42 --dataset_name Tosches --variant_name canm_diagnostic_only --seed 42 --n_clusters 15 --epochs 80 --batch_size 256 --n_top_genes 1000 --gpu 3 --no_save_h5ad

Using device: cuda:0
/data/luolie/conda/base/lib/python3.13/functools.py:934: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
Epoch 001/80 loss=0.2973 scmae=0.2973 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 010/80 loss=0.2228 scmae=0.2228 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 020/80 loss=0.2198 scmae=0.2198 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 030/80 loss=0.2173 scmae=0.2173 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 040/80 loss=0.2141 scmae=0.2141 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 050/80 loss=0.2139 scmae=0.2139 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 060/80 loss=0.2148 scmae=0.2148 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 070/80 loss=0.2123 scmae=0.2123 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 080/80 loss=0.2122 scmae=0.2122 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Results saved to: /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Tosches/canm_diagnostic_only/seed42
