dataset,seed,variant,ari,nmi,acc,f1_macro,q_cell,q_gene,q_total,graph_enabled,negative_control,pca_ari,pca_nmi,pca_acc,delta_ari_vs_pca,regret_vs_pca,negative_transfer,win_vs_pca,tie_vs_pca,loss_vs_pca,rank_ari_desc,oracle_ari,oracle_source_variant,oracle_gain_vs_pca,oracle_gap
Limb_Muscle,42,pca_kmeans,0.44747325960621226,0.5985589862723709,0.655154771041187,0.593064360589238,0.6230570398625715,0.8730946399460354,0.7480758399043035,False,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.0,0.0,False,False,True,False,11.0,0.8653544533250351,rdg_gene_only,0.4178811937188229,0.4178811937188229
Limb_Muscle,42,pca_spectral_kmeans,0.4566647752823708,0.6199842126297733,0.7001790739319519,0.5070261961644908,0.6230570398625715,0.8730946399460354,0.7480758399043035,False,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.009191515676158557,0.0,False,True,False,False,10.0,0.8653544533250351,rdg_gene_only,0.4178811937188229,0.4086896780426643
Limb_Muscle,42,rdg_cell_only,0.5806700782002904,0.7014878941534128,0.7825530826298286,0.6743277519328954,0.6230570398625715,0.8730946399460354,0.7480758399043035,True,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.13319681859407811,0.0,False,True,False,False,8.0,0.8653544533250351,rdg_gene_only,0.4178811937188229,0.28468437512474476
Limb_Muscle,42,rdg_gene_only,0.8653544533250351,0.8771817298251048,0.9437196213865439,0.9295537241689779,0.6230570398625715,0.8730946399460354,0.7480758399043035,True,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.4178811937188229,0.0,False,True,False,False,1.0,0.8653544533250351,rdg_gene_only,0.4178811937188229,0.0
Limb_Muscle,42,rdg_concat_kmeans,0.6637469481217955,0.7818722361453623,0.7979022767971348,0.6175826244254232,0.6230570398625715,0.8730946399460354,0.7480758399043035,False,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.2162736885155832,0.0,False,True,False,False,7.0,0.8653544533250351,rdg_gene_only,0.4178811937188229,0.20160750520323967
Limb_Muscle,42,rdg_always_on,0.7405171494539577,0.8191764645784329,0.9073931951905858,0.932051418042331,0.6230570398625715,0.8730946399460354,0.7480758399043035,True,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.2930438898477455,0.0,False,True,False,False,5.0,0.8653544533250351,rdg_gene_only,0.4178811937188229,0.12483730387107739
Limb_Muscle,42,safe_rdg_heuristic,0.858230811995709,0.8591298920622373,0.9429521616781785,0.9356690911719149,0.6230570398625715,0.8730946399460354,0.7480758399043035,True,,0.44747325960621226,0.5985589862723709,0.655154771041187,0.4107575523894968,0.0,False,True,False,False,2.0,0.8653544533250351,rdg_gene_only,0.4178811937188229,0.00712364132932608
Limb_Muscle,42,neg_random_cell_graph,0.5479481204150214,0.656492258717949,0.750575594781274,0.5866684170568798,0.6230570398625715,0.8730946399460354,0.7480758399043035,True,random_cell_graph,0.44747325960621226,0.5985589862723709,0.655154771041187,0.10047486080880913,0.0,False,True,False,False,9.0,0.8653544533250351,rdg_gene_only,0.4178811937188229,0.31740633291001374
Limb_Muscle,42,neg_degree_shuffle_graph,0.7825081423423331,0.757838140960816,0.8301355845484779,0.7001263843589115,0.6230570398625715,0.8730946399460354,0.7480758399043035,True,degree_preserving_shuffled_cell_graph,0.44747325960621226,0.5985589862723709,0.655154771041187,0.33503488273612086,0.0,False,True,False,False,3.0,0.8653544533250351,rdg_gene_only,0.4178811937188229,0.08284631098270201
Limb_Muscle,42,neg_shuffled_gene_cell_graph,0.10425441892577547,0.15147716730020955,0.40956766436428754,0.3270365217364574,0.6230570398625715,0.8730946399460354,0.7480758399043035,True,shuffled_gene_module_cell_graph,0.44747325960621226,0.5985589862723709,0.655154771041187,-0.3432188406804368,0.3432188406804368,True,False,False,True,12.0,0.8653544533250351,rdg_gene_only,0.4178811937188229,0.7611000343992597
