dataset,seed,oracle_source_variant,oracle_ari,oracle_nmi,oracle_acc,pca_ari,oracle_gain_vs_pca
Guo,42,rdg_gene_only,0.764704564625393,0.7955183224525437,0.799075500770416,0.35209914432785233,0.4126054202975407
Guo,3047,rdg_gene_only,0.7636625081572956,0.7958751585067618,0.7978428351309708,0.5715874549868789,0.19207505317041673
Guo,3407,pca_kmeans,0.7842894791301074,0.8245538721319631,0.8400616332819723,0.7842894791301074,0.0
Limb_Muscle,42,rdg_gene_only,0.8653544533250351,0.8771817298251048,0.9437196213865439,0.44747325960621226,0.4178811937188229
Limb_Muscle,3047,rdg_gene_only,0.9422452668898852,0.9319478099439295,0.9741621898183679,0.29726210330675723,0.644983163583128
Limb_Muscle,3407,rdg_gene_only,0.9197775865308375,0.9144505659942017,0.9710923509849066,0.7303812946952729,0.1893962918355646
Melanoma_5K,42,rdg_gene_only,0.49593103699520025,0.6449107260424893,0.6204298692665633,0.2093813648389237,0.2865496721562766
Melanoma_5K,3047,rdg_gene_only,0.4902404298642647,0.6387097612210539,0.6188787945933969,0.29631854702121124,0.19392188284305345
Melanoma_5K,3407,rdg_gene_only,0.49509903631273783,0.6379363288997091,0.6137824063815643,0.411035170367497,0.08406386594524085
Pollen,42,rdg_always_on,0.8700415764190499,0.8955787312019604,0.8571428571428571,0.03339391415030334,0.8366476622687465
Pollen,3047,rdg_always_on,0.7753551137203126,0.8652777043391131,0.7774086378737541,0.03276088462008422,0.7425942291002284
Pollen,3407,rdg_gene_only,0.7586615503816234,0.8714075434011357,0.7940199335548173,0.08347679009656467,0.6751847602850587
Quake_Smart-seq2_Lung,42,rdg_always_on,0.6839688183964758,0.7432894297238285,0.6789976133651552,0.3075130919019742,0.37645572649450165
Quake_Smart-seq2_Lung,3047,rdg_always_on,0.6891986531070012,0.7497453626282528,0.6789976133651552,0.42611692142046587,0.26308173168653537
Quake_Smart-seq2_Lung,3407,rdg_always_on,0.686812709756784,0.7481178014163763,0.6784009546539379,0.3062019822830681,0.3806107274737159
Wang,42,rdg_always_on,0.9694165426212082,0.9240608670102626,0.9930664985817838,0.7858779620945557,0.1835385805266525
Wang,3047,rdg_concat_kmeans,0.9685119891459418,0.9220484883374889,0.9928563924782015,0.9192749834614486,0.049237005684493185
Wang,3407,rdg_concat_kmeans,0.9680391658521181,0.9211810109472355,0.9927513394264104,0.9017862468606084,0.06625291899150976
Young,42,rdg_gene_only,0.5050026059812447,0.704025376157032,0.6742304309586632,0.4157136308162924,0.08928897516495227
Young,3047,rdg_gene_only,0.5628552777328516,0.7231204766789562,0.7067722075637642,0.5008383814309246,0.06201689630192697
Young,3407,rdg_concat_kmeans,0.6271286621225011,0.7081337125941997,0.784872471416007,0.4620449657559772,0.16508369636652387
worm_neuron_cell,42,rdg_gene_only,0.19965519089788453,0.5053189762788829,0.5566172957477306,0.13605756307253275,0.06359762782535178
worm_neuron_cell,3047,rdg_gene_only,0.21747494289275945,0.5227986082750158,0.5702341137123745,0.19366529709231248,0.023809645800446977
worm_neuron_cell,3407,rdg_gene_only,0.23130669257173384,0.5385987389338948,0.5800286669851887,0.09062845440340295,0.1406782381683309
